Unnamed: 0,absence of mental illness,absence of physical illness,cognitive health,emotional health,physical activity health,sensory health,sleep health,subclinical health,Years since publication,contribution index
doc8571,0,1,0,0,0,0,0,0,3,0.140012318
doc10780,0,1,0,0,0,0,0,0,11,0.140199845
doc10096,0,1,0,0,0,0,0,0,2,0.140361182
doc6162,0,0,0,0,1,0,0,0,13,0.140481757
doc12922,0,0,0,0,0,1,0,0,15,0.140836324
doc7585,0,1,0,0,0,0,0,0,5,0.140962173
doc7199,0,1,0,0,0,0,0,0,6,0.141081331
doc1278,0,0,0,0,0.495765452,0,0,0.504234548,12,0.141323827
doc6229,0,0.38177212,0,0,0,0.61822788,0,0,8,0.141460738
doc12381,0,1,0,0,0,0,0,0,34,0.142069557
doc7438,0,1,0,0,0,0,0,0,5,0.14222378
doc5422,0,1,0,0,0,0,0,0,15,0.14226683
doc7206,0,0.420154591,0,0.579845409,0,0,0,0,4,0.142408054
doc2360,0,1,0,0,0,0,0,0,22,0.142420663
doc5281,0,0,1,0,0,0,0,0,2,0.142697058
doc10490,0,1,0,0,0,0,0,0,12,0.142740194
doc7078,0,0,0,0,1,0,0,0,11,0.143236551
doc13540,0,1,0,0,0,0,0,0,21,0.143715086
doc11875,0,0,0,0,0,1,0,0,17,0.143816514
doc2665,0,0,1,0,0,0,0,0,22,0.143873743
doc6209,0,1,0,0,0,0,0,0,5,0.143903028
doc2212,0,0.486884203,0,0,0,0,0,0.513115797,12,0.144184266
doc5097,0,1,0,0,0,0,0,0,7,0.144227693
doc10539,0,1,0,0,0,0,0,0,27,0.144260117
doc1374,0,0,0,0,1,0,0,0,2,0.144489172
doc10882,0,0,0,0,0,1,0,0,15,0.144598682
doc7149,0,1,0,0,0,0,0,0,17,0.144970705
doc1061,0,0,0,0,0,0,1,0,31,0.145156808
doc340,0,0,0,0,0.45479452,0.54520548,0,0,15,0.145169913
doc1208,0,0,0,0,1,0,0,0,14,0.145374466
doc10027,0,1,0,0,0,0,0,0,5,0.14538813
doc295,0,1,0,0,0,0,0,0,4,0.145495097
doc4881,0,0,0,0,0,1,0,0,4,0.145743611
doc52,0,1,0,0,0,0,0,0,2,0.145768628
doc2085,0,0.421517336,0,0,0.578482664,0,0,0,19,0.145774748
doc11110,0,1,0,0,0,0,0,0,7,0.145879181
doc2679,0,0.558532112,0,0,0,0,0,0.441467888,2,0.145927328
doc3584,0,0,0,0,1,0,0,0,16,0.146000075
doc9960,0,1,0,0,0,0,0,0,7,0.14607618
doc8196,0,0,0,0,0,1,0,0,2,0.146128907
doc13209,0,1,0,0,0,0,0,0,2,0.146281287
doc466,0,0,0,0,0,1,0,0,4,0.146324423
doc13263,0,1,0,0,0,0,0,0,13,0.146792997
doc3117,0,1,0,0,0,0,0,0,3,0.146799032
doc11704,0,0.114515257,0,0,0,0.885484743,0,0,16,0.146891127
doc7821,0,0.486884203,0,0,0,0,0,0.513115797,8,0.146934902
doc1453,0,0,1,0,0,0,0,0,17,0.147206784
doc544,0,1,0,0,0,0,0,0,10,0.147206784
doc5927,0,0,0,0,1,0,0,0,2,0.147206784
doc10916,0,0,0,0,1,0,0,0,26,0.147226038
doc10338,0,1,0,0,0,0,0,0,16,0.14745087
doc5905,0,1,0,0,0,0,0,0,21,0.147531594
doc10247,0,0,0,0,0,1,0,0,20,0.147969861
doc5146,0,1,0,0,0,0,0,0,5,0.148084854
doc1352,0,1,0,0,0,0,0,0,20,0.148170262
doc6099,0,1,0,0,0,0,0,0,7,0.148268138
doc3038,0,0,0,0,0.45479452,0.54520548,0,0,2,0.14837143
doc2323,0,1,0,0,0,0,0,0,7,0.148418329
doc3316,0,0,1,0,0,0,0,0,18,0.148644302
doc4146,0,1,0,0,0,0,0,0,17,0.148904601
doc5330,0,0,0.484848483,0,0,0,0.515151517,0,13,0.148925475
doc7940,0,1,0,0,0,0,0,0,13,0.149068296
doc5206,0,0,0,0,1,0,0,0,19,0.149119895
